,rmse,max,min,mean,std,median,95th,5th,drift
2025-06-18_15-09-25,,112221.7531270842,-2820.87006851506,38167.893762832784,40905.39088986662,27504.379946644025,110977.18489800554,-2229.6200527694346,
2025-09-27_18-10-16,,144093.97337154258,-344898.0217567903,-142322.8049588011,103308.26177707277,-164018.58979505586,96078.58996098163,-299908.12219071365,
2025-07-31_23-36-03,-10927.78529641382,-2.550710656625519,-6179615.978032413,-1842969.55477797,2018337.2059871021,-676307.3428507078,-80234.21024926631,-5953208.656145255,-1654269.5955470472
2025-03-01_150426,,2653.3744502629283,-318470.50991193333,-155681.43005808268,92805.98926409504,-158008.2606893035,-13643.90048649106,-279014.0983286267,
2025-06-27_11-54-35,,45465.190732534174,-301649.6531287329,-82471.49441078097,75016.68886327623,-114931.23303097837,36940.15206260343,-178221.17839801044,
2025-07-04_17-24-46,,52823.48554969953,-896323.5315496128,-329690.6552429109,293627.237550279,-264305.2980740989,10578.501794712354,-846551.5635635528,
2023-08-06_144805,-1701.324174924077,76660.62880377626,-419650.35966457234,-83055.40611366255,106298.34810098559,-70667.7125292444,58701.16815322057,-320747.4311181398,-166057.5479861606
2025-03-01_164639,14485.853812764399,2663334.6434340547,827.156343265878,1690328.4154279793,894164.5141325265,2169136.7168952012,2634945.720173049,270449.1562466787,1652102.3139090815
2025-09-26_19-03-38,,4502379.566867234,-7973.914040717419,1210480.0577867168,1425091.2599880293,503030.1848464393,4434609.551938349,7300.582955242899,
2025-06-18_16-52-32,1591.7073684112254,220521.90340822868,-9064.932338800183,106694.6148710663,48242.53164691206,117850.48970931474,218936.1189447895,22645.019796791887,99493.26664214167
2023-08-04_214758,,97939.45545511096,-44933.47226744644,27981.17619748405,38809.8203942466,25149.53430861076,93280.21248121663,-41801.09134106098,
2023-08-09_163741,706232.3429151834,2948962.568185441,-8887.900581191236,2818527.1924811495,429260.05955778586,2911986.474820569,2946425.5557767036,2499365.4177756403,4044072.262224804
2025-07-18_23-13-43,,16645.70365314849,-5676.172321912098,1814.513587937405,7346.875905842375,-1171.0041326877147,16322.167237941423,-5571.585947506426,
mean,141936.15892500425,837207.6689482664,-656856.7814861054,250600.19373484293,428708.7833890785,331172.9491865156,812608.9855912166,-394422.5515624062,795068.1398485639
std,282265.6339748121,1442536.0622404097,1614163.7601199609,1075146.2664980518,609354.5638478409,985458.7661574685,1435692.9260995518,1770695.1925504275,1933772.3597574872
